"Offline dictionaries",books_and_reference,"3.2.1","Sep 29 2015","Android 3.0+",3.1 MB,"NGHS.fr",https://download.apkpure.com/c/APK/959/014e4e7c4234f4d8?fn=Offline%20dictionaries_v3.2.1_apkpure.com.apk&k=d80fca4b8315595d96602e3597cf66a85724c3f7&p=fr.nghs.android.dictionnaires&c=1%7CBOOKS_AND_REFERENCE
"القرآن مع التفسير بدون انترنت",books_and_reference,"4.0","Sep 22 2015","Android 2.3.2+",48.9 MB,"simppro",https://download.apkpure.com/c/APK/405/0116160aa86efc76?fn=%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86%20%D9%85%D8%B9%20%D8%A7%D9%84%D8%AA%D9%81%D8%B3%D9%8A%D8%B1%20%D8%A8%D8%AF%D9%88%D9%86%20%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA_v4.0_apkpure.com.apk&k=71e1b2e9ceb1950e430793a37c1f8d235724c3f7&p=com.simppro.quran.tafseer.offline&c=1%7CBOOKS_AND_REFERENCE
"JW Library",books_and_reference,"1.6.2","Apr 06 2016","Android 4.0+",52.2 MB,"Jehovah's Witnesses",https://download.apkpure.com/c/APK/1122/016eb71cd29a5405?fn=JW%20Library_v1.6.2_apkpure.com.apk&k=775d70aeda81c4edc8142915a040eda35724c3f7&p=org.jw.jwlibrary.mobile&c=1%7CBOOKS_AND_REFERENCE
"King James Bible (KJV)",books_and_reference,"2.69","Apr 05 2016","Android 3.0+",10.2 MB,"Warp Studios",https://download.apkpure.com/c/APK/1122/016deba07e0dda4d?fn=King%20James%20Bible%20KJV_v2.69_apkpure.com.apk&k=a9a7b3eb9d6b3bab07bb677061fe068a5724c3f7&p=com.azwstudios.theholybible.kjv&c=1%7CBOOKS_AND_REFERENCE
"Dictionary.com",books_and_reference,"5.2.2","Nov 18 2015","Android 2.3.2+",7.0 MB,"Dictionary.com, LLC",https://download.apkpure.com/c/APK/319/010e680d9f7dba7a?fn=Dictionary%20com_v5.2.2_apkpure.com.apk&k=3a15cf767dc6d0e6be9a7156f62024e95724c3f7&p=com.dictionary&c=1%7CBOOKS_AND_REFERENCE
"القرآن الكريم كامل مع التفسير",books_and_reference,"4.0","Sep 22 2015","Android 2.3.2+",35.6 MB,"simppro",https://download.apkpure.com/c/APK/421/011628e01a079910?fn=%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86%20%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85%20%D9%83%D8%A7%D9%85%D9%84%20%D9%85%D8%B9%20%D8%A7%D9%84%D8%AA%D9%81%D8%B3%D9%8A%D8%B1_v4.0_apkpure.com.apk&k=a0324ea66ef71b80aba90c07c2411eac5724c3f7&p=com.simppro.quran&c=1%7CBOOKS_AND_REFERENCE
"카카오페이지-웹툰,웹소설,만화,무협,로맨스",books_and_reference,"4.0.3.875","Apr 19 2016","Android 2.3.2+",14.0 MB,"Kakao Corporation",https://download.apkpure.com/c/APK/1197/0186216b929be3ef?fn=%EC%B9%B4%EC%B9%B4%EC%98%A4%ED%8E%98%EC%9D%B4%EC%A7%80%20%EC%9B%B9%ED%88%B0%20%EC%9B%B9%EC%86%8C%EC%84%A4%20%EB%A7%8C%ED%99%94%20%EB%AC%B4%ED%98%91%20%EB%A1%9C%EB%A7%A8%EC%8A%A4_v4.0.3.875_apkpure.com.apk&k=97d1d54aa28c0dba96ab06e4831731be5724c3f7&p=com.kakao.page&c=1%7CBOOKS_AND_REFERENCE
"Aldiko Book Reader",books_and_reference,"3.0.24","Apr 22 2016","Android 2.3.2+",15.0 MB,"Aldiko Limited",https://download.apkpure.com/c/APK/815/014210a4984ff6a7?fn=Aldiko%20Book%20Reader_v3.0.24_apkpure.com.apk&k=8f210e087ef543d9a4db431adb86aaf25724c3f7&p=com.aldiko.android&c=1%7CBOOKS_AND_REFERENCE
"أهم 50 كتاباً في علم النفس",books_and_reference,"2.0","May 27 2014","Android 2.2+",27.3 MB,"Books4Read",https://download.apkpure.com/c/APK/330/010f9dbe4fbf6705?fn=%D8%A3%D9%87%D9%85%2050%20%D9%83%D8%AA%D8%A7%D8%A8%D8%A7%D9%8B%20%D9%81%D9%8A%20%D8%B9%D9%84%D9%85%20%D8%A7%D9%84%D9%86%D9%81%D8%B3_v2.0_apkpure.com.apk&k=ef1980ba6dd3a167503f13fee978a0c05724c3f7&p=com.book4read.book31&c=1%7CBOOKS_AND_REFERENCE
"Bangla Dictionary",books_and_reference,"Neon","Jan 24 2016","Android 2.3.2+",17.8 MB,"BAPPI",https://download.apkpure.com/c/APK/624/0130568bee78bf4c?fn=Bangla%20Dictionary_vNeon_apkpure.com.apk&k=7a41f0780d698407c685185227066d545724c3f7&p=com.dictionary.bn&c=1%7CBOOKS_AND_REFERENCE
"Kamus Inggris (Kamusku)",books_and_reference,"6.0.6","Apr 01 2016","Android 4.0+",8.3 MB,"Kodelokus Cipta Aplikasi",https://download.apkpure.com/c/APK/1085/0166a732f2b68c01?fn=Kamus%20Inggris%20Kamusku_v6.0.6_apkpure.com.apk&k=69e186296fb721b1bd1690fabf9e43d35724c3f7&p=com.dridev.kamusku&c=1%7CBOOKS_AND_REFERENCE
"Universal Book Reader",books_and_reference,"3.0.638","Jan 08 2016","Android 3.0+",21.1 MB,"MobiSystems",https://download.apkpure.com/c/APK/658/012ab9d98678a041?fn=Universal%20Book%20Reader_v3.0.638_apkpure.com.apk&k=9c59bf877a35dc65c85d59012b8ab2d55724c3f7&p=com.mobisystems.ubreader_west&c=1%7CBOOKS_AND_REFERENCE
"Al'Quran Bahasa Indonesia",books_and_reference,"3.9.2","Dec 04 2015","Android 2.3.2+",9.8 MB,"MartinVillar.com",https://download.apkpure.com/c/APK/527/011f3e0b9667fb05?fn=Al%20Quran%20Bahasa%20Indonesia_v3.9.2_apkpure.com.apk&k=20a9865a797ddbbf09306e0c30ffd8115724c3f7&p=com.martinvillar.android.quranindonesia&c=1%7CBOOKS_AND_REFERENCE
"FHX Clash of Clans 2016",books_and_reference,"1.4.2","Jan 22 2016","Android 2.3.4+",2.9 MB,"bestArt",https://download.apkpure.com/c/APK/650/012fc8cf91cb2b96?fn=FHX%20Clash%20of%20Clans%202016_v1.4.2_apkpure.com.apk&k=1fd4b9fd6cd61718ac25d21e41fe9f665724c3f7&p=com.base.fhx&c=1%7CBOOKS_AND_REFERENCE
"King Root - Root All Devices",books_and_reference,"1.0","Mar 21 2016","Android 2.3.2+",1.8 MB,"My Team",https://download.apkpure.com/c/APK/983/014fbced97744102?fn=King%20Root%20Root%20All%20Devices_v1.0_apkpure.com.apk&k=29d9e54080d6febfc0279a6ff5cb6cb95724c3f7&p=net.krisna.kingroot&c=1%7CBOOKS_AND_REFERENCE
